Start,End,Open,High,Low,Close,Volume,Market Cap
2026-01-28,2026-01-29,89179.26,90452.87,88868.49,89261.08,57891588145.73519,1786592602235.3557
2026-01-27,2026-01-28,88272.8,89502.71,87356.69,89285.8,52578172583.44599,1766266267911.6062
2026-01-26,2026-01-27,86772.38,88751.95,86619.99,88402.02,64084157836.07665,1754717991264.0488
2026-01-25,2026-01-26,89239.28,89300.28,86257.63,86633.97,29233330536.585365,1762982530802.7874
2026-01-24,2026-01-25,89586.09,89936.25,89215.96,89326.15,43596126933.69338,1788753366537.519
2026-01-23,2026-01-24,89508.28,90963.03,88763.74,89540.04,49390722283.94774,1790971512649.4878
2026-01-22,2026-01-23,89611.85,90291.86,88658.05,89538.8,69117891155.90244,1792818020453.8572
2026-01-21,2026-01-22,88589.47,90472.97,87313.37,89415.18,75912364603.00348,1783997999763.0105
2026-01-20,2026-01-21,92770.1,92857.2,87964.38,88443.48,59269287426.954704,1815671669413.8567
2026-01-19,2026-01-20,92945.74,93349.99,92247.94,92607.25,47164600095.16028,1855861988728.4983
2026-01-18,2026-01-19,95099.07,95521.72,93745.7,93745.7,23150876622.83972,1900981743710.7285
2026-01-17,2026-01-18,95539.72,95589.89,95079.01,95133.57,33168634975.25784,1904152613336.7632
2026-01-16,2026-01-17,95673.01,95820.81,94394.46,95562.17,56366738268.560974,1905354173663.4949
2026-01-15,2026-01-16,96828.32,97139.22,95146.2,95628.05,73625825997.13937,1923797370365.519
2026-01-14,2026-01-15,95468.49,97746.73,94659.67,97031.73,80514991781.21254,1916659098302.5088
2026-01-13,2026-01-14,91371.86,95854.87,91080.74,95287.87,56639612612.41464,1851005610523.5227
2026-01-12,2026-01-13,90975.99,92461.34,90222.29,91239.68,42108807354.05924,1825637726365.979
2026-01-11,2026-01-12,90472.82,91186.53,90374.15,90960.21,16826730040.54704,1813123868840.547
2026-01-10,2026-01-11,90658.04,90821.25,90374.69,90567.12,36377010886.59233,1810189952096.84
2026-01-09,2026-01-10,91094.42,91908.83,89723.27,90628.45,53319575365.8676,1813602673917.9688
